model,model_name,source_region,target_region,test_events,variable,MAE_native,MSE_native,R2,MAE_km,MSE_km2
transformer_attention,GraphTransformer_AttentionPooling,California,Alaska,2206,Latitude,0.21134699241631619,0.11605080476330736,0.88277197619158998,23.459516158211098,1429.86196548871
transformer_attention,GraphTransformer_AttentionPooling,California,Alaska,2206,Longitude,0.45027924773205674,0.37337990607800703,0.82353953109667788,24.315079377531063,1088.7758061234686
transformer_attention,GraphTransformer_AttentionPooling,California,Alaska,2206,Depth_km,34.171116516077625,1813.9776733937306,-0.6550080956022315,,
transformer_attention,GraphTransformer_AttentionPooling,California,Alaska,2206,Magnitude,0.3275434337225217,0.1523717490346761,0.27000100789747328,,
transformer_max,GraphTransformer_MaxPooling,California,Alaska,2206,Latitude,0.13973382257057249,0.059035800865748674,0.94036534013224959,15.510454305333546,727.38010246688941
transformer_max,GraphTransformer_MaxPooling,California,Alaska,2206,Longitude,0.42422545896631064,0.3557448999459969,0.83187388814297636,22.908174784180776,1037.352128242527
transformer_max,GraphTransformer_MaxPooling,California,Alaska,2206,Depth_km,39.361921617505139,2142.4380864852287,-0.95468358264076003,,
transformer_max,GraphTransformer_MaxPooling,California,Alaska,2206,Magnitude,0.36149563082670733,0.17419072825165718,0.16546829144570263,,
no_message_attention,NoMessagePassing_AttentionPooling,California,Alaska,2206,Latitude,0.30110145098542318,0.17934972903601368,0.81883094780473875,33.422261059381974,2209.7680114527243
no_message_attention,NoMessagePassing_AttentionPooling,California,Alaska,2206,Longitude,0.41598846598818362,0.33612156588748526,0.84114793495975393,22.463377163361915,980.13048612790703
no_message_attention,NoMessagePassing_AttentionPooling,California,Alaska,2206,Depth_km,36.904722406496013,1980.3795635067597,-0.80682720523071061,,
no_message_attention,NoMessagePassing_AttentionPooling,California,Alaska,2206,Magnitude,0.23823865028820149,0.08923711958373734,0.57247319291822307,,
no_message_max,NoMessagePassing_MaxPooling,California,Alaska,2206,Latitude,0.19024235973982578,0.082979184887332635,0.91617907448884572,21.116901931120662,1022.3865369968254
no_message_max,NoMessagePassing_MaxPooling,California,Alaska,2206,Longitude,0.54595728788483255,0.48358092215878912,0.77145819877352217,29.481693545780956,1410.121969015029
no_message_max,NoMessagePassing_MaxPooling,California,Alaska,2206,Depth_km,41.836744673094152,2427.7035840240883,-1.2149495797076026,,
no_message_max,NoMessagePassing_MaxPooling,California,Alaska,2206,Magnitude,0.29736968687331683,0.12328372092652506,0.40935906695845992,,
gcn_max,GCN_MaxPooling,California,Alaska,2206,Latitude,0.22029561120656835,0.10410980930222721,0.89483410107786399,24.452812843929088,1282.7369604127414
gcn_max,GCN_MaxPooling,California,Alaska,2206,Longitude,0.65251777411350476,0.60972657811471476,0.71184138159148225,35.235959802129258,1777.9627017825082
gcn_max,GCN_MaxPooling,California,Alaska,2206,Depth_km,38.895957889571775,2295.7047923345076,-1.0945186217855802,,
gcn_max,GCN_MaxPooling,California,Alaska,2206,Magnitude,0.18045635762137249,0.061696135124835218,0.70441950858291047,,
gcn_attention,GCN_AttentionPooling,California,Alaska,2206,Latitude,0.22474115836474279,0.11381661243217898,0.88502883216359518,24.94626857848645,1402.3344817768773
gcn_attention,GCN_AttentionPooling,California,Alaska,2206,Longitude,0.59529192310230394,0.58980053794413312,0.72125848822911864,32.145763847524414,1719.8583686450922
gcn_attention,GCN_AttentionPooling,California,Alaska,2206,Depth_km,45.239825603887439,2894.5723259956662,-1.6409038562566725,,
gcn_attention,GCN_AttentionPooling,California,Alaska,2206,Magnitude,0.1848613541795826,0.061413147840324152,0.70577527455514388,,
transformer_attention,GraphTransformer_AttentionPooling,Alaska,California,2533,Latitude,0.18723473125857115,0.090259764590054956,0.92892070334328924,20.595820438442829,1092.143151539665
transformer_attention,GraphTransformer_AttentionPooling,Alaska,California,2533,Longitude,0.12763287352127428,0.040801819054052092,0.9434881382234509,11.742224363957234,345.3465964734969
transformer_attention,GraphTransformer_AttentionPooling,Alaska,California,2533,Depth_km,5.8419657745464759,56.55442569369491,-1.1298429074467418,,
transformer_attention,GraphTransformer_AttentionPooling,Alaska,California,2533,Magnitude,0.27872129804731421,0.14631098977287643,0.20197593328718044,,
transformer_max,GraphTransformer_MaxPooling,Alaska,California,2533,Latitude,0.18507165934857786,0.087119247210673545,0.93139385145616616,20.357882528343566,1054.1428912491499
transformer_max,GraphTransformer_MaxPooling,Alaska,California,2533,Longitude,0.13364403604006228,0.044643705284781822,0.93816699939518911,12.29525131568573,377.86432153039334
transformer_max,GraphTransformer_MaxPooling,Alaska,California,2533,Depth_km,5.6169556399270162,53.488258590328684,-1.0143708788999266,,
transformer_max,GraphTransformer_MaxPooling,Alaska,California,2533,Magnitude,0.27660601251559908,0.13911854001066476,0.24120571375533129,,
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,California,2533,Latitude,1.1420668189539223,1.7954725534772409,-0.41392930556847785,125.62735008493145,21725.217897074614
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,California,2533,Longitude,0.87604507698954703,1.077076045248393,-0.49178575865147645,80.596147083038332,9116.3716469823976
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,California,2533,Depth_km,4.1555834195096422,28.938741310984284,-0.089834653532825381,,
