model,model_name,region,split,seed,events,variable,MAE,MAE_std,MSE,MSE_std,R2,unit
transformer_attention,GraphTransformer_AttentionPooling,California,test,42,254,Latitude,5.0283746719360352,6.4839930534362793,67.326690673828125,236.28840637207031,0.99590116739273071,km
transformer_attention,GraphTransformer_AttentionPooling,California,test,42,254,Longitude,4.5197982788085938,6.7561073303222656,66.073516845703125,419.35235595703125,0.9903717041015625,km
transformer_attention,GraphTransformer_AttentionPooling,California,test,42,254,Depth,3.2748665809631348,3.110342264175415,20.398981094360352,39.256389617919922,0.31402623653411865,km
transformer_attention,GraphTransformer_AttentionPooling,California,test,42,254,Magnitude,0.17641295492649078,0.18301278352737427,0.064615234732627869,0.17963582277297974,0.73173177242279053,magnitude
transformer_max,GraphTransformer_MaxPooling,California,test,42,254,Latitude,5.115842342376709,5.8023262023925781,59.838794708251953,147.82536315917969,0.9963570237159729,km
transformer_max,GraphTransformer_MaxPooling,California,test,42,254,Longitude,4.6437044143676758,6.8576064109802246,68.590805053710938,353.1204833984375,0.99000489711761475,km
transformer_max,GraphTransformer_MaxPooling,California,test,42,254,Depth,3.1858885288238525,3.0333585739135742,19.351156234741211,36.037120819091797,0.34926241636276245,km
transformer_max,GraphTransformer_MaxPooling,California,test,42,254,Magnitude,0.15523195266723633,0.1782442033290863,0.05586792528629303,0.1735384613275528,0.76804864406585693,magnitude
no_message_attention,NoMessagePassing_AttentionPooling,California,test,42,254,Latitude,6.5436563491821289,7.631016731262207,101.05179595947266,279.31643676757812,0.99384796619415283,km
no_message_attention,NoMessagePassing_AttentionPooling,California,test,42,254,Longitude,5.8848819732666016,8.4567041397094727,106.14768218994141,494.2789306640625,0.98453205823898315,km
no_message_attention,NoMessagePassing_AttentionPooling,California,test,42,254,Depth,3.2571001052856445,3.1157107353210449,20.316362380981445,39.829647064208984,0.31680446863174438,km
no_message_attention,NoMessagePassing_AttentionPooling,California,test,42,254,Magnitude,0.17540031671524048,0.18773670494556427,0.066010355949401855,0.17385531961917877,0.72593969106674194,magnitude
